summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_longitude
"Well Trick or treating with my 2 daughters 13 and 11, I looked up to the sky as I often do.  My eye's fixed on what looked like 3 stars",Scottsdale,AZ,2005-10-31T19:00:00,triangle,02:00mins,"Occurred : 10/31/2005 19:00  (Entered as : 10/31/2005 19:00) Reported: 3/14/2006 12:05:38 AM 00:05 Posted: 5/15/2006 Location: Scottsdale/Phoenix, AZ Shape: Triangle Duration:02:00mins",http://www.nuforc.org/webreports/049/S49625.html,"Well Trick or treating with my 2 daughters 13 and 11, I looked up to the sky as I often do.  My eye's fixed on what looked like 3 stars, and I realized they were moving, and they were moving towards us.  The neighborhood that we live in is thickly populated but there were no other people near by at the moment.  We were at the corner of Granite reef and heatherbree in Scottsdale, AZ.  I was looking west, when I first noticed these lgihts(stars),  As they got closer, they must of been part of one craft, because thier movements seemed to be dependent upon each other.  I told the kids to look and they saw it too.  just about as it got over our heads it started turning towards the south, and elevating.  at what seemed like the point were it started elevating it wobbled for a sec or two, and then shot off and up to the south.  I never mentioned it to any one except my wife, and nothing was mentioned on the TV or Radio that I heard of.",2006-05-15T00:00:00,33.56413757440508,-111.90508303571536
"On Halloween Night 2005, 3 Lights in shape of a triangle moving over Scottsdale, AZ.",Scottsdale,AZ,2005-10-31T19:30:00,triangle,2:00min,"Occurred : 10/31/2005 19:30  (Entered as : 10/31/05 19:30) Reported: 3/31/2006 10:15:21 PM 22:15 Posted: 5/15/2006 Location: Scottsdale, AZ Shape: Triangle Duration:2:00min",http://www.nuforc.org/webreports/049/S49911.html,"On Halloween Night 2005, 3 Lights in shape of a triangle moving over Scottsdale, AZ. Well walking up Granite Reef, about 1/4 mile north of Indian School, with my 2 youngest daughters I saw what I thought was 3 stars in the shape of a triangle far off in the western sky.  Something about them caught my attention, and then I realized it was that they were moving towards us, all at once, together, as one it seemed.  I watched them for a few mins until I was sure of what I was seeing, then I told my daughters to look up and they saw them/it too.  They slowly came almost directly over our heads, and as they got near to us they started to bank and turn towards the south.  I didn't realize it at first but as they got closer to us they were also descending. I could see any edge or shape to this craft, but it was blocking out the view of the sky and stars behind it as it moved...  As it straightened out towards the south after making the turn, it wobbled once or twice and then shot off to the south 3 to 5 miles (estimate), also elevating as it moved, and then just stopped.  It covered this distance in the blink of an eye, but it also seemed like maybe who ever or what ever was controlling this thing, wasn't having the results they wanted.  The Movement was somewhat erratic and unstable.  Changing elevation and direction and stopping and going, and that wobble before it moved quickly to the south, just didn't seem as controlled as something that could move that fast and that quite should be.  I don't know what it was, but I have never seen a plane or helicopter that could move like that and not make a sound.",2006-05-15T00:00:00,33.56413757440508,-111.90508303571536
"large object  seen north of Cincinnati, 9 lights grouped in 3's, 1 group broke away  to follow us",Cincinnati,OH,2005-11-06T01:30:00,other,60 seconds,"Occurred : 11/6/2005 01:30  (Entered as : 11/06/05 1:30) Reported: 4/7/2006 9:25:45 PM 21:25 Posted: 5/15/2006 Location: Cincinnati, OH Shape: Other Duration:60 seconds",http://www.nuforc.org/webreports/050/S50018.html,"large object  seen north of Cincinnati, 9 lights grouped in 3's, 1 group broke away  to follow us My husband and I were on our way back from a concert in Cincinnati (destination Circleville) to pick up our children from my inlaw's.   We were on a back road highway and I'm not sure of the name of it, but we realized we were going the wrong way.  I was driving and to our right, over a huge open field high up in the sky, were 9 lights (grouped in 3's) forming a huge triangle. They were slowly rotating as one large object. (The lights were at the corners of the object and were a bright glowing white.)   After one of the 3 groupings ""broke off"" from the formation and started following us.  They were not behind us, though.  They were beside us going at the same speed we were, but keeping a large distance between us.   We turned around in a driveway to head back in the right direction and all 3 disappeared.",2006-05-15T00:00:00,39.17450311744183,-84.48136299381915
more than one person[strangers] have come to my unique viewing mountainside,Fernwood,ID,2005-11-15T23:00:00,circle,1 hour,"Occurred : 11/15/2005 23:00  (Entered as : 11 15 2005 23:00) Reported: 4/20/2006 11:15:07 PM 23:15 Posted: 5/15/2006 Location: Fernwood, ID Shape: Circle Duration:1 hour",http://www.nuforc.org/webreports/050/S50213.html,"more than one person[strangers] have come to my unique viewing mountainside on many occassions a uc berkley physisist and a women from up north[whom was an abductee] have been up to my mountain top home to observe these sightings.one of them witnessed a close up bright light nearby.she told me of a small metal object removed from her head when she was younger.this women has been here many times and belongs to an international sighting and abductee group.many folks in our small community have observed bright light on the side of our closest peak. we have seen them break into smaller objects,move arround so fast that you could not keep up then jet off into the horizon.it creeps a lot of locals, i just keep on looking.my contractor friend is telling me about these hugh concrete homes he's building into the sides of mountain sides, my lady friend told me about this a while back as these folks are expecting some huge winds comming from the west and that they are getting out of the way.anyway these sightings are not slowing down and i'm not leaving.thanks for reading this, people need to know. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,47.0906,-116.4601
Cigar shaped object over the frontyard of my house flashed green and orange lights in my face.,Denver,CO,2005-11-19T19:55:00,cigar,20 Minutes,"Occurred : 11/19/2005 19:55  (Entered as : 11/19/2005 19:55) Reported: 4/26/2006 5:30:33 PM 17:30 Posted: 5/15/2006 Location: Denver, CO Shape: Cigar Duration:20 Minutes",http://www.nuforc.org/webreports/050/S50299.html,"Cigar shaped object over the frontyard of my house flashed green and orange lights in my face. I was out in my frontyard. And I saw a cigar shaped like object that was orange with a green tail on it and it flashed in my face. I watched the object as it went over my house. And I lost it in the clouds. And then I saw the object again. My friend that was over at my house came out and looked at the object. The object was going to the west and we lost sight of the object and we didn't see it no more. This happened on November 19, 2005 on a Saturday night at 7:55 P.M. It was a cloudy night. We went back in the house and came back outside and the object was no where in sight.",2006-05-15T00:00:00,39.7451263722071,-104.95934593826648
a cool night in November 2005 a couple of my friends and I were having a few drinks in my backyard.  Suddenly this flash of light comes,Brandon,MB,2005-11-21T12:01:00,flash,2 minutes,"Occurred : 11/21/2005 12:01  (Entered as : 11/21/2005 12:01) Reported: 3/20/2006 6:20:56 AM 06:20 Posted: 5/15/2006 Location: Brandon (Canada), MB Shape: Flash Duration:2 minutes",http://www.nuforc.org/webreports/049/S49735.html,"a cool night in November 2005 a couple of my friends and I were having a few drinks in my backyard.  Suddenly this flash of light comes out of nowhere and disappears. I heard a popping sound as it entered the earth atmoshpere but my friends did not hear it for some reason. They told me to look right after I heard the popping crackling sound, and then I saw it, I bright white flash that appeared to be a comet or meteor but it suddenly stopped dead still. My friends were astonished at the sudden pause.  Holy crap! they replied, I couldnt believe it either.  Suddenly the spacecraft vanished into thin air.  A few weeks later I have a dream about men in black bombing us or saving us, one of the two. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,49.82516829268285,-99.96341138211392
White dot teleports in a triangular motion...unbelievable!,Brandon,MB,2005-11-21T21:04:00,disk,5 to 10 seconds,"Occurred : 11/21/2005 21:04  (Entered as : 11/21/2005 21:04) Reported: 3/16/2006 12:58:42 AM 00:58 Posted: 5/15/2006 Location: Brandon (Canada), MB Shape: Disk Duration:5 to 10 seconds",http://www.nuforc.org/webreports/049/S49667.html,"White dot teleports in a triangular motion...unbelievable! It was a cold night in November 2005.  Around midnight me and two of my friends went to the liqour store to buy some alcohol. We came back to my house had a few drinks and then we went outside to smoke a couple ciggerettes in my backyard.  We put on some music and drank a bit more, suddenly i heard a loud pop or a snap as if something busted throught the Earth's atmosphere, it seems I was the only one of us three that heard the loud snapping sound. Anyways as soon as I heard the extremely loud snap I immediatley looked up towards the sound and there it was, a white dot quietly soaring throught the air.  After I looked at it my friends yelled out, Holy Shit!"" look!  while I was already looking, we all watched it for about 10 seconds and it disappeared.  The way it was moving was like not possible, it was literally teleporting in front of our eyes in a triangular motion then it disappeared.  We then argued about what we saw all night but no one else we knew saw it but us.  It was very eerie being the only one who heard the popping sound and looked immediately towards it. I should really carry a video camera around from now on...",2006-05-15T00:00:00,49.82516829268285,-99.96341138211392
Chevron shaped object over my barn pasture and over the lake.,Butler,MO,2005-11-22T19:40:00,chevron,15 Minutes,"Occurred : 11/22/2005 19:40  (Entered as : 11/22/2005 19:40) Reported: 4/11/2006 5:40:56 PM 17:40 Posted: 5/15/2006 Location: Butler, MO Shape: Chevron Duration:15 Minutes",http://www.nuforc.org/webreports/050/S50100.html,"Chevron shaped object over my barn pasture and over the lake. On Tuesday November 22, 2005 at 7:40 P.M. at my pasture at at my barn I saw a chevron shaped object it was a very bright blue with a white tail on it. It blinked and hovered over the barn. And it went down by the lake. And I went in my barn and saw it in the distance. It changed to a bright orange and it got lower and lower and reflected over the lake. And I went down by the lake and looked back at the barn and the object was gone. Then I looked to the west and saw another light it was a yellowish with a white tail moving at a very very fast rate of speed. It was cloudy outside. I didn't see the object no more that I saw at my barn. So I got in my car and went back into town.",2006-05-15T00:00:00,38.2509,-94.3105
WHILE ME AND A FRIEND WERE FISHING ON A LAKE WE SAW AN OBJECT IT WAS VERY SCARY.,Edmond,OK,2005-11-22T19:45:00,unknown,25 MINUTES,"Occurred : 11/22/2005 19:45  (Entered as : 11/22/2005 19:45) Reported: 3/14/2006 5:26:07 PM 17:26 Posted: 5/15/2006 Location: Edmond, OK Shape: Unknown Duration:25 MINUTES",http://www.nuforc.org/webreports/049/S49638.html,"WHILE ME AND A FRIEND WERE FISHING ON A LAKE WE SAW AN OBJECT IT WAS VERY SCARY. Me and a friend that is one of my neighbors were fishing out on a nearby lake. We had our chairs and our fishing poles. And we sat down and fished awhile. And we were looking up and saw this object. It was round and wide on the top and the sides of it got narrower going to the bottom. It was round and narrow on the bottom and wider going to the top of the object. It looked like a top. It was orange lighted with red vertical lines all around the sides. It had a blue light in the middle of the top and a blue light in the middle of the bottom. It was very scary and scared both of us. I've never been so scared. So we got our fishing poles and chairs and went back to the car. We looked back at the lake and still saw the object. The object made no sound. Then it was gone and it was no where in sight. This happened on November 22, 2005 on a Tuesday night at 7:45 P.M. So after we left the lake we took our fishing poles and dropped them off at our houses. And we got a motel room. We stayed at the HOLIDAY INN in Oklahoma City on South Meridian. And we got a bite to eat. And in the motel room we talked for hours about our scary experience while we were fishing on the lake.",2006-05-15T00:00:00,35.66189285714283,-97.47531375661332
"RED, YELLOW, AND BLUE LIGHTS OVER BANGOR, MAINE.",Bangor,ME,2005-11-22T19:45:00,other,15 MINUTES,"Occurred : 11/22/2005 19:45  (Entered as : 11/22/2005 19:45) Reported: 4/26/2006 5:05:28 PM 17:05 Posted: 5/15/2006 Location: Bangor, ME Shape: Other Duration:15 MINUTES",http://www.nuforc.org/webreports/050/S50298.html,"RED, YELLOW, AND BLUE LIGHTS OVER BANGOR, MAINE. I was on a vacation I was in Bangor, Maine I ate at an ITALIAN RESTAURANT called EVO ITALIAN BRICKOVEN. When I got there I saw 3 circle UFOS. They had on the inside of the bottom red, yellow, and blue lights. Then I saw 3 triangler UFOS. One was red lighted with yellow dots on the corner, the other one was yellow lighted with blue dots on the corners, the other one was blue lighted with red dots on the corner. This happened on November 22, 2005 on a Tuesday night at 7:45 P.M. I watched these objects these UFOS hovered over the restaurant I was eating at. I kept seeing these UFOS and I walked around the restaurant and I still saw them then I lost sight of these objects and didn't see them no more. Then I went inside the restaurant to eat dinner after I ate dinner I came out of the restaurant and didn't see them no more. They didn't make a sound It was partly cloudy that night in Bangor, Maine. I got back in my car and went back to my motel. I was puzzled to see the UFOS that I saw outside where I ate at.",2006-05-15T00:00:00,44.86216021505391,-68.83885806451623
Cigar shaped object was over my house and me and my friend saw the object.,Chambersburg,PA,2005-11-22T20:40:00,cigar,5 MINUTES,"Occurred : 11/22/2005 20:40  (Entered as : 11/22/2005 20:40) Reported: 3/14/2006 5:35:06 PM 17:35 Posted: 5/15/2006 Location: Chambersburg, PA Shape: Cigar Duration:5 MINUTES",http://www.nuforc.org/webreports/049/S49640.html,"Cigar shaped object was over my house and me and my friend saw the object. On November 22, 2005 on a Tuesday night at 8:40 P.M. me and a friend saw something in the sky that looked like a cigar shaped object it was blue with a red tail. It made no sound it left a trail. We saw it in my front yard. We watched it and we saw it over the house. Then it was gone and wasn't in sight no more. There was no sound to the object. It was cloudy outside. But we looked and saw the object no more.",2006-05-15T00:00:00,39.93760000000014,-77.66109999999973
RECTANGLER OBJECT OVER A CONVENIENT STORE OF THE FREEWAY.,Charleston,SC,2005-11-22T20:55:00,rectangle,15 MINUTES,"Occurred : 11/22/2005 20:55  (Entered as : 11/22/2005 20:55) Reported: 5/10/2006 5:34:40 PM 17:34 Posted: 5/15/2006 Location: Charleston, SC Shape: Rectangle Duration:15 MINUTES",http://www.nuforc.org/webreports/050/S50509.html,"RECTANGLER OBJECT OVER A CONVENIENT STORE OF THE FREEWAY. I was with a friend at the all night convenient store on INTERSTATE 26 at Rivers Road. We looked up and saw a rectangler object looking like a UFO. It had red, yellow, orange, blue, green, purple, pink, and white lights. It changed to all red and yellow lights. It emitted red and yellow and orange and blue and purple beams. It was over our car and the lights were blinking. This was 11/22/2005 at 8:55 P.M. that night. We saw the object move to the west and we got gas and got cokes in the convenient store. We came out and still saw the object and then we lost sight of the object. It left a trial and a haze. We kept looking and still didn't see the object no more.",2006-05-15T00:00:00,32.8038872316379,-79.96885661016988
AS ME AND A FRIEND WERE DRIVING ON THE INTERSTATE WE SAW THESE UFOS.,Louisville,KY,2005-11-22T21:45:00,changing,20 MINUTES,"Occurred : 11/22/2005 21:45  (Entered as : 11/22/2005 21:45) Reported: 5/4/2006 5:30:14 PM 17:30 Posted: 5/15/2006 Location: Louisville, KY Shape: Changing Duration:20 MINUTES",http://www.nuforc.org/webreports/050/S50420.html,"AS ME AND A FRIEND WERE DRIVING ON THE INTERSTATE WE SAW THESE UFOS. Me and a friend were on INTERSTATE 64 at EXIT 128 and we looked up and saw a circle UFO it had red, yellow, and brown lights on the inside of the bottom, then it had on the inside of the bottom all blue and purple lights and emitted red and yellow beams. And then it changed into a triangler UFO it was all red lighted with blue lights on the corner. And then it changed back into a circle UFO. It had again on the inside of the bottom red, yellow, and brown lights. And it emitted two more circle UFOS. They all had on the inside of the bottom red and yellow lights and emitted blue and purple beams. We sat off the INTERSTATE and watched these objects as they hovered over the car. Then we saw these UFOS get lower then higher and then we lost sight of them and couldn't see them no more. This was on November 22, 2005 on a Tuesday night at 9:45 P.M. It was very clear outside we didn't hear no sound we first saw these objects as we were driving on the INTERSTATE and we got off to watch these objects.",2006-05-15T00:00:00,38.211214467651466,-85.68918456444241
BIG SAUCER GOING OVER FOLLEY BEACH WE SAW IT FROM OUR HOTEL.,Folly Beach,SC,2005-11-22T22:40:00,disk,35 SECONDS,"Occurred : 11/22/2005 22:40  (Entered as : 11/22/2005 22:40) Reported: 5/10/2006 5:18:10 PM 17:18 Posted: 5/15/2006 Location: Folly Beach, SC Shape: Disk Duration:35 SECONDS",http://www.nuforc.org/webreports/050/S50508.html,BIG SAUCER GOING OVER FOLLEY BEACH WE SAW IT FROM OUR HOTEL. I was in the Hotel parking lot at my hotel and I saw a big saucer go over the hotel over the ocean and it was red lighted and had pink in the middle of it. It went over the ocean.  I went out on the public pier and I still saw it.  There were people walking along the beach as well.  I was with a friend we walked back from the pier to the hotel parking lot and we still saw it way out over the sea.   Then we lost sight of the object.  Other people on the beach and the pier must have saw it.  It was 10:40 P.M. on 11-22-2005 when we saw this saucer over the hotel and pier.,2006-05-15T00:00:00,32.6552,-79.9404
"Two light orbs with propulsion flares on bottom  flying above Venice,CA",Venice,CA,2005-11-24T00:00:00,light,20 min.,"Occurred : 11/24/2005   (Entered as : 11/24/2005 :8:00 am) Reported: 3/12/2006 10:29:31 AM 10:29 Posted: 5/15/2006 Location: Venice, CA Shape: Light Duration:20 min.",http://www.nuforc.org/webreports/049/S49560.html,"Two light orbs with propulsion flares on bottom  flying above Venice,CA That morning I arrived at the desntist office at 8:00 am. The doors were not open yet and people where starting to arrive. It was a very clear day so I noticed the moon in full view,then I noticed a ball of light on the right side of the moon.I pointed it out to everyone and then we noticed it moving very slow and very very high. We did not think much about it untill I looked up again before we started in the office and wow! there were two now but directly over us moving up very high then down low.I filmed this because I just happened to have my camera to bring to take pics of my friends new store in the area. This was Lincoln blvd and Rose Ave. in Venice,CA. I downloaded the footage on my computer and blew them up. They looked like balls of light with a force from underneath. I had to stop and go in for my apt. When I came out they were gone.",2006-05-15T00:00:00,33.9942951456311,-118.46369223300972
Long cylinder shaped UFO sighted along I-70 near Columbus Ohio.,Columbus,OH,2005-11-29T15:15:00,cylinder,1 minute,"Occurred : 11/29/2005 15:15  (Entered as : 11/29/05 15:15) Reported: 3/12/2006 10:32:20 AM 10:32 Posted: 5/15/2006 Location: Columbus, OH Shape: Cylinder Duration:1 minute",http://www.nuforc.org/webreports/049/S49561.html,"Long cylinder shaped UFO sighted along I-70 near Columbus Ohio. This sighting occured on the east side of Columbus while driving at approx. 3:15pm on Nov 29 2005. I was driving in an area where I had driven on numerous occasions. I was driving on the outerbelt around Columbus (I-270) traveling north. I was comming up to the overpass crossing over I-70 which runs east and west through Columbus. Being the outerbelt is generally speaking circular my perspective of the object was in continual change while I was moving. I looked east along I-70 and noticed a stationary object approx. 1/4 mile from the overpass. It was sitting just above the tree line slightly to the north of I-70. I at first thought that I was looking at a very large waving banner that was attached to something. I had never seen this in that location before. It was very promonent. I quickly realized that I was looking at a solid object that had a rippling appearance moving along its surface, moving from west to east and going around it. The object was sitting parallel to I-70 maybe 50 feet above the trees. It had the appareance of being a long pipe parallel to the ground, being somewhat longer than a tractor trailer rig and maybe 5 feet tall. I slowed down to look at it but couldn't pull over and stop on the overpass because I had traffic comming up on my rear. This is the point where the situation gets really interesting because just beyond the the I-70 overpass is an underpass for a road that parallels I-70 just to its north and as I approach this underpass I notice a dark blue and/or black helicopter with no markings circling the overpass. I assume that the chopper can see the object but looking straight east now I can no longer see it. From this perspective I would now be looking at it's west end. I at this point look into my rear view mirror and see a dark blue sedan of matching color right behind me. It appeared to be a current model unmarked Chevy Impala that had a beacon on top.(the beacon wasn't on and may have been some type of detection equipment for all I know) The beacon and it's lenses and the windows of the car matched the color of the car so it's interior could't be seen. As I passed under the road crossing over I-270 the sedan pulled over and stopped under the underpass that the helicopter was circling. I must comment about the synchronistic aspects of this happening. This was my third non disk shaped close UFO encounter but the only one I have reported.(the other two encounters were actually closer as I was right under them) I have had four other encounters with the black helicopters but had nothing to do with UFO's. I appeared to be the focus of their attention. At the time of this happening I was scheduled to go to the UFO conference three days later in Virginia beach at the A.R.E.",2006-05-15T00:00:00,40.00341687325051,-82.99822087165268
Boomerang style crafted spotted with no sound only lights on the craft.,Ypsilanti,MI,2005-12-05T07:00:00,other,10 minutes,"Occurred : 12/5/2005 07:00  (Entered as : December 5 7:00) Reported: 3/20/2006 5:39:56 PM 17:39 Posted: 5/15/2006 Location: Ypsilanti, MI Shape: Other Duration:10 minutes",http://www.nuforc.org/webreports/049/S49740.html,Boomerang style crafted spotted with no sound only lights on the craft. I was standing at the bus stop by the mail box out on Whittaker when I looked over my shoulder to see if the bus was coming. When I noticed something funny loking up in the sky. It was a green boomerang looking craft that had what looked like little holes in the back for engine outlets. The tail ended in a point at the back and it had no visible rear stabilizers. When I saw it the craft was making a slow right hand turn going up in a corkscrew style. I looked away and then looked back and it was gone. It made no sound and at the time there were no airplanes in the area. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),2006-05-15T00:00:00,42.23633504273512,-83.60297037036992
Craft flies very low over our heads!!,Smithshire,IL,2005-12-05T20:00:00,other,1minute,"Occurred : 12/5/2005 20:00  (Entered as : 12/5/05 20:00) Reported: 3/27/2006 4:17:51 PM 16:17 Posted: 5/15/2006 Location: Smithshire, IL Shape: Other Duration:1minute",http://www.nuforc.org/webreports/049/S49842.html,"Craft flies very low over our heads!! This sighting occurred in December of 2005. We did not report as we are unsure of what happens with these reports. Before this sighting we have noticed alot of strange UFO activity in our rural location such as weird lights in the sky, unknown sounds in and on top of house such as ""something"" running arcross roof late at night or very early in the morning hours. Also, a few months before this sighting we observed five to six ""helicopters"" with very low humming engines and air to ground spotlights flying around the area as searching in a grid formation.  We(husband, wife and child) went outside to the rear of our home to gather the trash cans and wheel them out front to the curb. About mid-way I(husband) happened to look up and saw a huge ""ship"" and proclaimed "" What the !@#! is that?"" at which time my wife and son also looked up and observed the object. It was moving from South to North VERY slowly and was less than 150 feet in the air or right above our tree tops. The object was sort of rectangluar in shape but not quite. The rear of the object was ""glowing"" an yellow orange color and making a low humming sound. In the center of the object was looked like a large dome that hung below the object and pulsated the same yellow orange color. As we only saw the underbelly of the object we also noticed many what seemed to be ""tubes"", my wife said it looked to her more like a flying generator. To say the least, we all three were very shocked and with me being a ufo buff got quite excited! Since this encounter we have heard that same ""humming sound"" on other occassions that seem to come from right above our home. We also hear very strange sounds that come from the woods around our home quite frequently and still see strange activity. ((NUFORC Note:  Witness elects to remain totally anonymous.  Date of event may be approximate.  PD))",2006-05-15T00:00:00,40.7492,-90.7713
WHILE I WAS SITTING ON MY DECK AT MY HOUSE I SAW A WEIRD OBJECT WAY UP OVER THE TREES.,Lenexa,KS,2005-12-23T07:45:00,other,5 MINUTES,"Occurred : 12/23/2005 07:45  (Entered as : 12/23/2005 07:45) Reported: 5/11/2006 5:37:36 PM 17:37 Posted: 5/15/2006 Location: Lenexa, KS Shape: Other Duration:5 MINUTES",http://www.nuforc.org/webreports/050/S50519.html,"WHILE I WAS SITTING ON MY DECK AT MY HOUSE I SAW A WEIRD OBJECT WAY UP OVER THE TREES. On the morning of December 23, 2005 on a Friday morning at 7:45 A.M. I was sitting out on my deck and I saw something move across the sky it was a bottle shaped object it had metal all around it and it just kept on going and going it was about 15,000 feet up in the sky. I saw it way up over the trees it got over a cloud and when it came out I saw it again and then it just kept on going and I didn't see it no more and it was gone. I was sitting on my deck drinking a coke when I saw this thing it was fairly clear but partly cloudy. I don't know what this object was that I saw. It wasn't a plane or a weather balloon or a star in the sky. I don't know where it came from but I saw it move in the sky.",2006-05-15T00:00:00,38.95079716535408,-94.7537916535438
While I was in my front yard I saw a strange object above my house.,Charleston,SC,2005-12-23T22:45:00,unknown,15 MINUTES,"Occurred : 12/23/2005 22:45  (Entered as : 12/23/2005 22:45) Reported: 3/13/2006 5:30:01 PM 17:30 Posted: 5/15/2006 Location: Charleston, SC Shape: Unknown Duration:15 MINUTES",http://www.nuforc.org/webreports/049/S49611.html,"While I was in my front yard I saw a strange object above my house. It was on a Friday night December 23, 2005 at 10:45 P.M. I was out in my front yard. I observed an object. It was round on the top and got narrower going to the bottom, round and narrow on the bottom and got wider going to the top the object looked like a top. It was all yellow lighted with red vertical lines all around the sides and it had an orange light in the middle of the top and in the middle of the bottom. It hovered over the house. And then it was still then it got down lower and went over the neighbors house. Then I looked up and it disappeared and it was gone. I didn't see the object no more. It made no sound. It was partly cloudy. I looked around the house and I still didn't see it no more. It was gone. I was wondering what this object was I saw and where it came from.",2006-05-15T00:00:00,32.8038872316379,-79.96885661016988
Bright geosynchronus light that appears every morning.   ((NUFORC Note: Probable sighting of celestial body.  PD)),Claremore,OK,2006-01-01T04:45:00,light,ongoing,"Occurred : 1/1/2006 04:45  (Entered as : 010106 04:45) Reported: 4/6/2006 12:22:32 AM 00:22 Posted: 5/15/2006 Location: Claremore, OK Shape: Light Duration:ongoing",http://www.nuforc.org/webreports/049/S49984.html,"Bright geosynchronus light that appears every morning. On 01/01/06 at approx. 0445, my partner and I observed for the first time a bright ""light"" in the eastern sky from our location. At first, we thought it was a large aircraft with it's landing lights on, heading westbound toward Tulsa International Airport. As we continued to observe the light, we noticed that it did not move. We were able to get out of our car and watch the light for an hour, and it never changed position in relation to us, the horizon, or any other observable object, while the stars progressed across the sky as normal.  The object is obviously geosynchronus as it has been in the same position in the sky visible at the same basic time every morning for three months. The only time it is otherwise visible is on Monday nights, when it is visible all night long. It is not visible any other night of the week until approx. 04:30am.  I have written NASA asking what this might be, but have received no response from them. At leasat ten other people have observed this same phenomenon, almost all are law enforcement officers as I. i believe it may simply be a satellite, but it's position does not match anything I have been able to find on sites such as NASA's downloadable satellite tracking software.  Not saying it's a spaceship or anything, but no one seems to be willing to tell me what it is. ((NUFORC Note: Probable sighting of celestial body.  PD))",2006-05-15T00:00:00,36.33805714285718,-95.60826703296702
"I was skiing on my birthday, and while I was going up the ski lift I saw what looked like a burning boomerang.It was falling out of the",La Crosse,WI,2006-01-10T04:00:00,other,5 minuets,"Occurred : 1/10/2006 04:00  (Entered as : 01/10/06 4:00) Reported: 3/23/2006 1:03:42 PM 13:03 Posted: 5/15/2006 Location: La Crosse, WI Shape: Other Duration:5 minuets",http://www.nuforc.org/webreports/049/S49784.html,"I was skiing on my birthday, and while I was going up the ski lift I saw what looked like a burning boomerang.It was falling out of the sky shooting flames and smoke out of it. As I looked at it I saw something flying away from it. It looked like a banana whith a piont sticking out on the opposit side from the curve like this (- . It was flying really really fast away from the burning thing whith the curve forword, it would fly about this far (from where I was it looked like it) ---------------------------------- then stop and then backwards about this far.       -------------- . Then it stoped and and flew strait down beyond the horizon.",2006-05-15T00:00:00,43.81477743362844,-91.24447831858438
"My husband and I were driving on Linton Rd. headed south, when he said did you see that and I replied no see what? Then he pointed sout",Sandersville,GA,2006-01-14T19:47:00,unknown,15-30 seconds a piece,"Occurred : 1/14/2006 19:47  (Entered as : 01/14/06 19:47) Reported: 3/27/2006 10:39:30 AM 10:39 Posted: 5/15/2006 Location: Sandersville, GA Shape: Unknown Duration:15-30 seconds a piece",http://www.nuforc.org/webreports/049/S49838.html,"My husband and I were driving on Linton Rd. headed south, when he said did you see that and I replied no see what? Then he pointed south east and as I watched the night sky we saw what looked like a flare(blueish white), except that there was no smoke after the light diminshed and as we kept watching the sky we saw this occur three more times in the same location each time and then it just ceased and we no longer saw them. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,32.97519999999998,-82.85750000000003
